X,Y
37.5722,127.05679
37.57204,127.0565
37.57202,127.05707
37.5718,127.05644
37.57203,127.05662
37.57183,127.05673
37.57182,127.05688
37.57154,127.0562
37.57139,127.05632
37.57154,127.0566
37.57142,127.05686
37.5714,127.05703
37.57129,127.05633
37.56852,127.06804
37.5688,127.06881
37.56854,127.06878
37.56754,127.06755
37.56787,127.0686
37.56739,127.06742
37.56829,127.06845
37.56802,127.06822
37.5669,127.06747
37.56814,127.06505
37.56708,127.06727
37.56809,127.06484
37.56823,127.06494
37.56801,127.06509
37.5677,127.06476
37.56747,127.06475
37.56799,127.06471
37.56764,127.06448
37.56735,127.06445
37.56766,127.06427
37.56996,127.06658
37.56738,127.06414
37.56728,127.06401
37.56967,127.0674
37.56928,127.06722
37.56912,127.06674
37.56876,127.06693
37.56882,127.06714
37.56884,127.06746
37.56669,127.06699
37.5666,127.06652
37.56714,127.06695
37.56718,127.06676
37.56688,127.06628
37.5671,127.06641
37.56751,127.06696
37.56763,127.06721
37.56782,127.06651
37.57898,127.05617
37.57805,127.05637
37.57788,127.05656
37.57791,127.0571
37.57879,127.05671
37.57872,127.05624
37.57848,127.05657
37.57818,127.05718
37.57824,127.05654
37.56849,127.06712
37.56845,127.06667
37.56873,127.06629
37.56845,127.06613
37.568,127.06676
37.56816,127.06796
37.56994,127.06481
37.56805,127.06765
37.56723,127.06607
37.5677,127.06587
37.56789,127.0656
37.56744,127.06637
37.56719,127.06535
37.56812,127.06585
37.56715,127.06523
37.56742,127.06484
37.56812,127.06535
37.56829,127.06564
37.56841,127.06544
37.57555,127.02465
37.57332,127.02575
37.57823,127.02723
37.5716,127.02716
37.57156,127.02744
37.58218,127.0369
37.57867,127.03314
37.57283,127.02754
37.58592,127.03804
37.58568,127.03648
37.58591,127.03716
37.5858,127.03715
37.58637,127.03793
37.58554,127.03811
37.58542,127.03698
37.58515,127.03712
37.58548,127.03741
37.5723,127.0275
37.57809,127.02553
37.57529,127.02515
37.5854,127.03535
37.5851,127.03511
37.58513,127.03502
37.5851,127.03482
37.58507,127.0344
37.58229,127.03676
37.58523,127.03462
37.58481,127.03443
37.58504,127.03456
37.58461,127.03472
37.5848,127.03495
37.58492,127.03469
37.58452,127.03498
37.58429,127.03503
37.58426,127.03492
37.58427,127.03465
37.58502,127.03675
37.5845,127.03693
37.58444,127.03721
37.5843,127.03702
37.58412,127.03672
37.58399,127.03705
37.5838,127.03693
37.58917,127.0372
37.58383,127.03676
37.58898,127.03722
37.57129,127.02747
37.59017,127.03896
37.59022,127.03917
37.59028,127.03895
37.59026,127.03876
37.59034,127.03922
37.58984,127.0388
37.59006,127.03895
37.59002,127.03907
37.58959,127.03845
37.58981,127.03856
37.58924,127.03828
37.5898,127.03895
37.58438,127.03435
37.58947,127.03875
37.58403,127.03459
37.58431,127.03423
37.58395,127.0347
37.58384,127.03487
37.58384,127.03507
37.58375,127.03429
37.58371,127.0349
37.58383,127.03447
37.58362,127.0345
37.58325,127.03488
37.58367,127.04001
37.5833,127.03477
37.5846,127.03306
37.58351,127.03471
37.5862,127.04099
37.58619,127.04072
37.58636,127.04089
37.58336,127.03986
37.5853,127.04057
37.58605,127.04139
37.58632,127.04186
37.58622,127.04143
37.58633,127.04216
37.58625,127.04165
37.58921,127.03599
37.58915,127.03849
37.58874,127.03807
37.58194,127.03219
37.58898,127.03841
37.58803,127.03773
37.58826,127.03785
37.5905,127.04043
37.58255,127.03673
37.59024,127.04053
37.59025,127.04082
37.58434,127.03277
37.59072,127.03965
37.58448,127.03326
37.58431,127.03375
37.58425,127.03341
37.58418,127.03389
37.58431,127.033
37.58407,127.03313
37.58401,127.03296
37.5841,127.03327
37.58392,127.03309
37.58418,127.03363
37.58403,127.03384
37.58371,127.03331
37.5808,127.03613
37.58201,127.03708
37.57988,127.03545
37.58013,127.03629
37.582,127.03662
37.58162,127.03664
37.58142,127.03682
37.57945,127.03565
37.57908,127.03622
37.58143,127.03668
37.5812,127.03687
37.58123,127.03676
37.58112,127.03655
37.58879,127.03628
37.58878,127.03615
37.58848,127.03663
37.58866,127.03556
37.58871,127.0361
37.5887,127.0366
37.58858,127.03579
37.58855,127.03588
37.58838,127.03643
37.58829,127.0365
37.58833,127.03665
37.58813,127.03665
37.58844,127.0398
37.58828,127.03964
37.58824,127.03972
37.58801,127.03975
37.58806,127.03993
37.58784,127.03965
37.58794,127.03987
37.58771,127.03976
37.5877,127.03927
37.58765,127.03936
37.58787,127.04004
37.58376,127.03387
37.58335,127.03365
37.58741,127.04021
37.58752,127.04029
37.58365,127.03396
37.58359,127.03342
37.58332,127.03427
37.58333,127.03402
37.58336,127.03334
37.58307,127.03421
37.58309,127.03363
37.58497,127.03889
37.58552,127.03886
37.58442,127.03928
37.58456,127.03891
37.585,127.0395
37.58809,127.03681
37.58828,127.03526
37.58842,127.03533
37.58831,127.03506
37.58792,127.03598
37.58826,127.03561
37.58827,127.03506
37.58809,127.03567
37.58806,127.03581
37.588,127.0358
37.58793,127.03614
37.58731,127.03989
37.588,127.03639
37.58728,127.03996
37.58783,127.03592
37.58726,127.04025
37.58718,127.03884
37.58725,127.03899
37.58693,127.03849
37.58706,127.03858
37.58731,127.03939
37.58676,127.03919
37.58705,127.0395
37.58253,127.0305
37.58699,127.03968
37.58219,127.0314
37.58681,127.0398
37.58253,127.0316
37.58203,127.03219
37.58251,127.03232
37.58266,127.03252
37.58204,127.03044
37.58238,127.03259
37.58236,127.03235
37.58228,127.0326
37.58358,127.037
37.58334,127.03696
37.58324,127.03694
37.58354,127.03688
37.58373,127.03647
37.58335,127.03663
37.58309,127.03654
37.58339,127.03634
37.5854,127.04144
37.58798,127.03647
37.58785,127.03638
37.58488,127.03815
37.58715,127.03617
37.58773,127.03657
37.58807,127.035
37.5881,127.03507
37.58794,127.03484
37.58786,127.03468
37.58783,127.03475
37.58772,127.03438
37.58633,127.03505
37.58762,127.04005
37.58586,127.03529
37.58757,127.03466
37.58605,127.03501
37.58582,127.03497
37.58634,127.03537
37.58571,127.03458
37.58599,127.03422
37.58561,127.03436
37.58601,127.03388
37.58205,127.03258
37.58581,127.03433
37.58163,127.03266
37.58182,127.0324
37.58201,127.03022
37.58171,127.03032
37.58152,127.03235
37.58188,127.03269
37.58149,127.03248
37.58153,127.03277
37.58179,127.03173
37.58148,127.03221
37.58089,127.03675
37.58089,127.03685
37.58061,127.03652
37.58089,127.03695
37.5807,127.03675
37.58053,127.03653
37.58071,127.03691
37.58029,127.0365
37.57994,127.0366
37.5798,127.03682
37.58751,127.03465
37.58763,127.03432
37.58737,127.03456
37.58744,127.03448
37.58605,127.03515
37.58696,127.03356
37.58694,127.03405
37.58697,127.03425
37.58718,127.03388
37.58674,127.03392
37.58669,127.03428
37.58666,127.03362
37.58596,127.03355
37.58659,127.03347
37.58779,127.03505
37.58613,127.03328
37.58578,127.03338
37.58623,127.03345
37.58594,127.03399
37.5854,127.03391
37.58549,127.03417
37.58215,127.03304
37.58351,127.03385
37.58523,127.03427
37.58543,127.03431
37.58263,127.0332
37.58251,127.03325
37.58264,127.03369
37.58242,127.03341
37.58249,127.03461
37.58071,127.03437
37.58117,127.03289
37.58452,127.0394
37.58457,127.04005
37.58444,127.03977
37.58442,127.03966
37.58427,127.03904
37.58419,127.03904
37.58404,127.03893
37.58404,127.03905
37.58416,127.03938
37.58397,127.0393
37.58422,127.03977
37.58423,127.04016
37.58798,127.03551
37.58787,127.03554
37.58772,127.03519
37.5877,127.0354
37.58754,127.03597
37.5852,127.0339
37.58757,127.03554
37.58764,127.03581
37.58729,127.03491
37.58751,127.03502
37.58721,127.0349
37.5874,127.0355
37.58734,127.03532
37.58522,127.03413
37.58509,127.03381
37.58499,127.03414
37.585,127.03337
37.58488,127.03357
37.5848,127.03397
37.58479,127.03379
37.58603,127.03298
37.58572,127.03298
37.58565,127.03274
37.58555,127.03273
37.58588,127.03258
37.58096,127.03214
37.58276,127.03835
37.58334,127.03789
37.58159,127.03757
37.58141,127.03761
37.58019,127.03746
37.58098,127.03747
37.57997,127.03712
37.58065,127.03763
37.58008,127.03773
37.57995,127.03752
37.57998,127.0372
37.5797,127.03749
37.58718,127.03595
37.58706,127.03559
37.57934,127.03727
37.58725,127.0358
37.58682,127.03602
37.58673,127.03585
37.58698,127.03454
37.58699,127.03493
37.59064,127.03894
37.58672,127.03457
37.58699,127.03522
37.5869,127.03535
37.58548,127.03271
37.58682,127.03494
37.58552,127.03284
37.58689,127.03522
37.58561,127.03301
37.58538,127.0328
37.58523,127.03321
37.58541,127.03343
37.58519,127.03328
37.58486,127.03254
37.58484,127.03294
37.58513,127.03246
37.58094,127.0327
37.58061,127.03272
37.58056,127.03301
37.58063,127.03331
37.5805,127.03364
37.58034,127.03355
37.58016,127.03421
37.58031,127.03438
37.58018,127.03435
37.58014,127.03404
37.57954,127.03659
37.57941,127.03652
37.58554,127.0392
37.58557,127.03941
37.58616,127.03941
37.57884,127.03658
37.58551,127.03931
37.58586,127.03999
37.58558,127.03985
37.58548,127.0397
37.5853,127.03974
37.58725,127.03759
37.58714,127.03757
37.58711,127.0378
37.58736,127.03749
37.58716,127.03752
37.58936,127.03741
37.59107,127.03673
37.59084,127.0367
37.59038,127.03711
37.59016,127.03762
37.59074,127.03748
37.59036,127.03739
37.5905,127.03671
37.58476,127.03211
37.58464,127.03221
37.58483,127.03183
37.58494,127.03207
37.58476,127.03245
37.58449,127.03259
37.58435,127.03228
37.58429,127.03273
37.58434,127.03255
37.58404,127.03228
37.58415,127.03206
37.58351,127.03058
37.58362,127.03066
37.58261,127.03688
37.58015,127.03356
37.57983,127.03321
37.58025,127.03332
37.58068,127.03248
37.58008,127.03338
37.58026,127.03244
37.57993,127.0326
37.57984,127.03297
37.58015,127.03277
37.584,127.03975
37.58398,127.04004
37.58369,127.03909
37.58373,127.03934
37.58351,127.03931
37.58337,127.03905
37.58323,127.03955
37.58314,127.03964
37.58322,127.03931
37.5833,127.03929
37.58319,127.04012
37.5836,127.03978
37.59045,127.03781
37.59034,127.03792
37.59018,127.03711
37.58992,127.03759
37.58972,127.03753
37.58981,127.03736
37.58975,127.03708
37.58934,127.03725
37.58944,127.03708
37.58935,127.03684
37.5834,127.03041
37.58308,127.03048
37.58922,127.03709
37.58922,127.03736
37.58294,127.03041
37.58937,127.03753
37.58303,127.03127
37.58281,127.03076
37.583,127.03086
37.58387,127.03143
37.58558,127.03484
37.58282,127.031
37.58556,127.03509
37.58536,127.0346
37.57964,127.03307
37.58556,127.03548
37.57967,127.03248
37.58542,127.03546
37.57949,127.0326
37.579,127.03357
37.57917,127.03348
37.57905,127.03293
37.57899,127.03709
37.58213,127.0369
37.57911,127.03739
37.57851,127.03332
37.58211,127.03629
37.58189,127.03606
37.58192,127.03624
37.58171,127.03618
37.58171,127.03634
37.58169,127.03657
37.58139,127.03645
37.58141,127.03599
37.58096,127.03584
37.57741,127.02567
37.57764,127.0264
37.57432,127.02746
37.57829,127.0267
37.57768,127.02537
37.57491,127.02575
37.575,127.02765
37.56988,127.05699
37.56952,127.05636
37.56927,127.0566
37.56932,127.05643
37.56759,127.05718
37.56767,127.05746
37.56757,127.05729
37.56931,127.05685
