x,y
35.8616,128.56678
35.86191,128.5663
35.86114,128.56515
35.86333,128.56402
35.86127,128.56562
35.8611,128.56502
35.86112,128.56546
35.86131,128.56615
35.86134,128.56658
35.86598,128.56555
35.86547,128.56502
35.86553,128.56561
35.86413,128.56664
35.86271,128.56308
35.86231,128.55969
35.86149,128.55851
35.86246,128.55933
35.86155,128.55895
35.86454,128.56502
35.86515,128.56603
35.86362,128.56127
35.86434,128.5604
35.86373,128.56095
35.86369,128.5591
35.86105,128.56343
35.86113,128.56381
35.86078,128.56318
35.86093,128.56317
35.86059,128.56275
35.86072,128.56303
35.86034,128.56288
35.86104,128.56292
35.86007,128.56192
35.86045,128.56225
35.86069,128.56217
35.86108,128.56228
35.86063,128.56245
35.86074,128.5625
35.86784,128.57571
35.86184,128.56192
35.86153,128.56216
35.86085,128.56234
35.86065,128.56208
35.86088,128.56202
35.86226,128.56287
35.86108,128.56197
35.86124,128.56318
35.86138,128.56173
35.86099,128.56161
35.86099,128.56242
35.86333,128.56268
35.86335,128.56314
35.86319,128.5616
35.86276,128.5603
35.86319,128.56148
35.86289,128.56137
35.86314,128.56105
35.86248,128.56192
35.86301,128.56244
35.86303,128.56189
35.86492,128.56235
35.86303,128.56273
35.86418,128.56183
35.86388,128.56187
35.86123,128.56748
35.86188,128.55978
35.86566,128.56543
35.86468,128.56177
35.86364,128.55887
35.86091,128.55932
35.86024,128.56251
35.86242,128.5605
35.86265,128.56076
35.86383,128.56094
35.86492,128.56684
35.86353,128.55981
35.86389,128.55913
35.86142,128.56189
35.85934,128.55863
35.86185,128.56222
35.86027,128.55514
35.86174,128.56225
35.85962,128.55389
35.85883,128.55342
35.86029,128.54808
35.86342,128.55852
35.86337,128.55822
35.86317,128.55741
35.86329,128.55793
35.86291,128.55713
35.86269,128.55723
35.86247,128.55727
35.86226,128.55732
35.86215,128.55733
35.85578,128.54811
35.86186,128.56145
35.8618,128.55087
35.85561,128.54944
35.85588,128.54791
35.85614,128.54856
35.85604,128.54805
35.85739,128.54934
35.85788,128.54891
35.85597,128.54842
35.85805,128.54944
35.85989,128.54526
35.86164,128.5615
35.86183,128.5613
35.86124,128.56165
35.86281,128.55689
35.86175,128.55742
35.86084,128.55892
35.86173,128.55729
35.86199,128.55723
35.86225,128.55719
35.86158,128.55738
35.8624,128.564
35.85984,128.55234
35.85741,128.54978
35.85933,128.54968
35.86104,128.55398
35.85882,128.55326
35.85761,128.54596
35.85852,128.54896
35.86201,128.55107
35.85924,128.54488
35.85835,128.54662
35.85651,128.54642
35.85909,128.54914
35.85751,128.54498
35.85898,128.54883
35.85898,128.54716
35.86121,128.55421
35.86361,128.56191
35.86333,128.56109
35.85812,128.54772
35.85948,128.55215
35.86009,128.5454
35.86062,128.54608
35.8585,128.54476
35.86053,128.55171
35.85892,128.55049
35.8592,128.55237
35.85887,128.55019
35.86055,128.55564
35.85778,128.54587
35.86238,128.55377
35.85915,128.54711
35.85875,128.54774
35.85851,128.54731
35.85848,128.54748
35.85812,128.54742
35.85781,128.54759
35.85739,128.54769
35.8575,128.54769
35.85774,128.54773
35.85813,128.548
35.85786,128.54772
35.85811,128.54979
35.8571,128.54841
35.8571,128.55043
35.85776,128.55002
35.86242,128.55315
35.85951,128.55143
35.86261,128.55527
35.86064,128.55281
35.86128,128.55083
35.85583,128.54926
35.85864,128.54805
35.86005,128.55123
35.85884,128.55073
35.85906,128.54964
35.85793,128.546
35.85661,128.54976
35.8568,128.55029
35.86037,128.55319
35.86023,128.55608
35.85897,128.55154
35.85754,128.54564
35.85852,128.54953
35.85635,128.5454
35.85894,128.55191
35.85973,128.54543
35.86034,128.55829
35.86444,128.56251
35.864,128.5625
35.86379,128.56253
35.86408,128.56224
35.86438,128.56229
35.86376,128.56229
35.85854,128.54712
35.85716,128.54992
35.8551,128.54815
35.85533,128.54885
35.86505,128.56272
35.86488,128.56228
35.86492,128.56213
35.86313,128.56078
35.86343,128.56072
35.86351,128.56029
35.86317,128.56035
35.8607,128.55873
35.85918,128.55919
35.86302,128.56013
35.86335,128.56007
35.86358,128.56003
35.86282,128.55969
35.86325,128.55961
35.86347,128.55957
35.86262,128.55976
35.86329,128.55738
35.86044,128.56109
35.86348,128.55813
35.86333,128.55756
35.86355,128.55789
35.86383,128.55967
35.86388,128.55988
35.86412,128.5603
35.86405,128.5606
35.86027,128.55935
35.86025,128.55917
35.86012,128.55902
35.86014,128.55868
35.85996,128.55845
35.86008,128.55849
35.85977,128.55852
35.85944,128.55859
35.85976,128.55868
35.85966,128.55904
35.85994,128.55932
35.85983,128.55905
35.85898,128.55869
35.85903,128.55749
35.85917,128.55783
35.8596,128.55784
35.86004,128.55775
35.86335,128.56133
35.86002,128.55763
35.86001,128.55747
35.86185,128.55947
35.86096,128.55962
35.86151,128.56116
35.86118,128.56128
35.86134,128.56095
35.86096,128.56104
35.86113,128.5608
35.86107,128.56037
35.86088,128.5604
35.86097,128.56384
35.86091,128.55989
35.86114,128.55934
35.86066,128.56078
35.86078,128.56053
35.86089,128.56125
35.8607,128.56128
35.85832,128.54994
35.8581,128.55025
35.86162,128.55501
35.85775,128.55021
35.85719,128.54954
35.85727,128.54961
35.85754,128.54994
35.85679,128.54976
35.85668,128.54952
35.85787,128.55062
35.85818,128.55082
35.85783,128.55095
35.85758,128.55076
35.85542,128.54841
35.85557,128.54872
35.86145,128.56
35.86179,128.56107
35.85916,128.55741
35.86076,128.5614
35.85929,128.55844
35.85543,128.54956
35.85736,128.54618
35.85748,128.55091
35.85693,128.55016
35.8568,128.54997
35.85628,128.54912
35.85605,128.54935
35.85811,128.5501
35.85638,128.54949
35.85569,128.54911
35.85537,128.54896
35.85575,128.54893
35.85563,128.54798
35.85569,128.54833
35.85721,128.54679
35.85745,128.54671
35.8575,128.547
35.85683,128.54689
35.8573,128.54592
35.85648,128.54627
35.85715,128.54626
35.85674,128.54637
35.85649,128.5459
35.85663,128.54547
35.85685,128.54588
35.85689,128.54554
35.85708,128.54533
35.85862,128.54525
35.85869,128.54577
35.85846,128.54584
35.85866,128.54546
35.85885,128.54521
35.85759,128.55092
35.85935,128.54505
35.85911,128.54532
35.85922,128.54506
35.8596,128.54512
35.85864,128.54451
35.85933,128.54446
35.85881,128.54446
35.85946,128.54479
35.85926,128.54432
35.85816,128.54482
35.85834,128.54476
35.85973,128.54423
35.8621,128.5634
35.86004,128.55921
35.86124,128.55899
35.86214,128.56382
35.86047,128.5579
35.86306,128.56667
35.86121,128.56237
35.85971,128.55751
35.85973,128.55888
35.86499,128.56256
35.864,128.56136
35.86388,128.5611
35.8617,128.56372
35.86105,128.5602
35.86179,128.56425
35.85716,128.54569
35.86153,128.5588
35.85725,128.54566
35.86106,128.55834
35.8624,128.56038
35.8598,128.56072
35.86137,128.56064
35.86128,128.55931
35.86091,128.5607
35.86352,128.5589
35.86023,128.559
35.86038,128.56209
35.85906,128.55826
35.85887,128.55807
35.86315,128.56218
35.86038,128.55862
35.86086,128.5644
35.86108,128.5642
35.86141,128.56393
35.86198,128.56376
35.86171,128.56388
35.86208,128.56325
35.86126,128.56379
35.86198,128.56342
35.86193,128.563
35.86188,128.56259
35.86196,128.56327
35.86168,128.56306
35.86133,128.56298
35.8616,128.56279
35.86122,128.563
35.85718,128.54529
35.85709,128.54499
35.85696,128.54498
35.85675,128.54529
35.85645,128.54536
35.85788,128.54473
35.8578,128.5451
35.85799,128.54519
35.85768,128.54529
35.85804,128.54546
35.85816,128.5453
35.85828,128.54593
35.85791,128.54564
35.85813,128.54557
35.85812,128.54586
35.85777,128.54605
35.85767,128.54669
35.85887,128.54661
35.8581,128.54656
35.85849,128.54625
35.85778,128.54667
35.8591,128.54607
35.85966,128.54591
35.86003,128.54598
35.85988,128.54568
35.85999,128.54518
35.86015,128.54554
35.86043,128.54544
35.86075,128.54904
35.85933,128.5456
35.85891,128.54571
35.86004,128.54626
35.85843,128.54715
35.85951,128.54637
35.85749,128.54747
35.86075,128.54683
35.86083,128.55425
35.86098,128.55102
35.85888,128.55094
35.85852,128.54995
35.85927,128.55015
35.8588,128.5504
35.86162,128.55214
35.85845,128.54659
35.85917,128.54542
35.85905,128.54472
35.85991,128.54602
35.86193,128.55517
35.85948,128.54517
35.85825,128.54525
35.85822,128.54555
35.85796,128.54471
35.86239,128.56286
35.85865,128.54559
35.85549,128.54902
35.85909,128.5507
35.85914,128.55189
35.8583,128.54505
35.85875,128.55287
35.8584,128.54552
35.85601,128.54787
35.85888,128.54536
35.85957,128.54532
35.85814,128.54669
35.85803,128.54505
35.85961,128.54624
35.85978,128.55135
35.85987,128.55182
35.86202,128.56271
35.86157,128.56816
35.86172,128.56726
35.86156,128.5666
35.86151,128.56719
35.8615,128.56679
35.86156,128.56739
35.86407,128.56582
