X,Y
37.59559,127.02081
37.59174,127.01919
37.59195,127.01833
37.59282,127.01946
37.59189,127.01893
37.59208,127.01867
37.5921,127.01891
37.59196,127.01903
37.59158,127.0189
37.59165,127.01917
37.59225,127.01912
37.59214,127.01906
37.59221,127.01854
37.59244,127.0195
37.59246,127.01923
37.59236,127.01932
37.5927,127.0195
37.59254,127.01903
37.59263,127.01923
37.59261,127.01956
37.59301,127.01823
37.59277,127.01866
37.59248,127.01857
37.59238,127.01858
37.59305,127.01911
37.59307,127.01802
37.59286,127.01866
37.59327,127.01863
37.5928,127.0176
37.59378,127.01882
37.59413,127.01925
37.59357,127.01966
37.59357,127.01938
37.59307,127.01989
37.59312,127.01875
37.59307,127.01989
37.58983,127.01802
37.59332,127.01962
37.59374,127.01985
37.59367,127.01984
37.59406,127.01962
37.59352,127.01984
37.59382,127.01988
37.59307,127.01989
37.59456,127.01977
37.59398,127.0199
37.59428,127.02014
37.59493,127.01985
37.59587,127.02114
37.59292,127.01838
37.59582,127.02128
37.59495,127.02122
37.59497,127.021
37.59475,127.02052
37.59525,127.02106
37.59554,127.02108
37.59485,127.02049
37.59433,127.0206
37.59413,127.02064
37.59398,127.02041
37.59447,127.02047
37.59392,127.02061
37.5946,127.01831
37.5946,127.02113
37.59421,127.02092
37.59472,127.02096
37.59391,127.02089
37.59661,127.02165
37.59314,127.02075
37.5928,127.02092
37.59344,127.02083
37.59281,127.02075
37.59265,127.02033
37.59242,127.02087
37.59214,127.02084
37.59367,127.02057
37.59174,127.0208
37.59164,127.02079
37.59,127.02105
37.59175,127.02062
37.59243,127.02073
37.5906,127.02
37.59033,127.02107
37.59095,127.02063
37.59092,127.02076
37.58941,127.02032
37.5907,127.02026
37.58979,127.02098
37.58947,127.01995
37.59019,127.02042
37.59041,127.02045
37.58941,127.02032
37.58982,127.02037
37.58998,127.02012
37.59019,127.02055
37.58957,127.02047
37.59552,127.0156
37.58945,127.02088
37.58952,127.02089
37.59015,127.02086
37.59022,127.02104
37.58936,127.02065
37.59033,127.02107
37.59035,127.02138
37.5906,127.02073
37.58992,127.02104
37.59023,127.02139
37.5896,127.02116
37.59638,127.01292
37.58952,127.021
37.58927,127.02137
37.59314,127.02181
37.59354,127.02124
37.59414,127.02154
37.58927,127.02137
37.59319,127.02096
37.58959,127.02141
37.58974,127.02144
37.58935,127.02098
37.58948,127.02172
37.59008,127.02178
37.58923,127.0217
37.58937,127.02151
37.59028,127.02172
37.5904,127.0217
37.5902,127.02188
37.58985,127.0219
37.58975,127.02188
37.58959,127.02185
37.59027,127.02215
37.5899,127.02209
37.58964,127.02206
37.58403,127.02038
37.58937,127.02203
37.58946,127.02192
37.59332,127.02151
37.59316,127.02149
37.59319,127.02096
37.5935,127.021
37.59314,127.02181
37.59375,127.02133
37.59394,127.02129
37.59372,127.02127
37.59384,127.02147
37.59365,127.02153
37.59414,127.02154
37.58986,127.0201
37.5944,127.02154
37.59407,127.02131
37.59513,127.02124
37.59543,127.02124
37.59432,127.02137
37.59446,127.02136
37.59583,127.02168
37.59444,127.02294
37.59444,127.02294
37.59517,127.02219
37.59688,127.02184
37.59331,127.0234
37.59628,127.02138
37.59636,127.02209
37.59638,127.02195
37.59646,127.02209
37.59628,127.02185
37.5963,127.022
37.59627,127.02208
37.59602,127.02208
37.59581,127.02216
37.59582,127.0223
37.59538,127.0225
37.59548,127.02215
37.59285,127.01823
37.59554,127.0219
37.59561,127.02191
37.59537,127.02236
37.59515,127.02258
37.59512,127.02235
37.59508,127.02223
37.59509,127.02253
37.59492,127.02273
37.59489,127.02245
37.59474,127.02271
37.59519,127.02296
37.59492,127.02285
37.59444,127.02294
37.59523,127.02306
37.59508,127.02272
37.59519,127.02265
37.59306,127.02355
37.59341,127.02299
37.59758,127.01423
37.59357,127.02281
37.59331,127.0234
37.59349,127.02304
37.59365,127.02276
37.5934,127.02334
37.59425,127.02269
37.59463,127.02263
37.59454,127.02212
37.59429,127.02241
37.59473,127.02256
37.59533,127.02189
37.59508,127.02169
37.59369,127.02284
37.59493,127.02167
37.59475,127.02166
37.5947,127.01827
37.59551,127.01696
37.59536,127.01715
37.59508,127.01707
37.59491,127.01687
37.59522,127.01704
37.59514,127.01748
37.59485,127.01714
37.59469,127.01694
37.59482,127.01646
37.59506,127.01672
37.59573,127.01722
37.59551,127.01696
37.59576,127.01696
37.59667,127.01658
37.59361,127.01574
37.5932,127.01565
37.5957,127.01544
37.59393,127.0159
37.5938,127.01495
37.59552,127.01415
37.59552,127.01415
37.59552,127.01415
37.59552,127.01415
37.59552,127.01415
37.59552,127.01415
37.59552,127.01415
37.59552,127.01415
37.59603,127.01665
37.59599,127.01682
37.59621,127.01668
37.59595,127.01705
37.5963,127.01643
37.5962,127.01623
37.59614,127.01688
37.59648,127.017
37.59612,127.01665
37.59616,127.01638
37.59611,127.01629
37.59604,127.01619
37.5965,127.01597
37.59667,127.01658
37.5963,127.01581
37.59261,127.01341
37.59254,127.01327
37.5925,127.01307
37.59256,127.01372
37.59271,127.01401
37.59558,127.01675
37.59569,127.02074
37.59646,127.02163
37.59553,127.01962
37.59283,127.01501
37.59277,127.01431
37.59306,127.01465
37.59303,127.01473
37.59283,127.01522
37.59282,127.01603
37.5932,127.01565
37.59325,127.0146
37.59337,127.01419
37.59346,127.01421
37.59336,127.01465
37.59392,127.01455
37.59348,127.0147
37.59369,127.01491
37.59364,127.01452
37.59389,127.01402
37.59384,127.01449
37.59389,127.01384
37.59368,127.01409
37.59343,127.01482
37.59297,127.01398
37.59371,127.01567
37.59354,127.01541
37.59415,127.0155
37.5938,127.01582
37.59393,127.0159
37.5939,127.01542
37.59406,127.01535
37.59438,127.01381
37.59417,127.01487
37.5938,127.01495
37.59416,127.01506
37.59426,127.01448
37.59647,127.01479
37.59488,127.01523
37.59515,127.01553
37.5957,127.01544
37.59542,127.01553
37.595,127.01529
37.59464,127.01557
37.59549,127.01496
36.41989,128.17298
37.59561,127.01528
37.59592,127.01509
37.5926,127.0142
37.59608,127.01501
37.59533,127.01566
37.59636,127.01486
37.59667,127.01796
37.59502,127.0155
37.59718,127.01424
37.59576,127.01444
37.59534,127.01518
37.59573,127.01472
37.5979,127.02146
37.59713,127.01366
37.59326,127.01671
37.59361,127.01714
37.59676,127.01476
37.59688,127.01458
37.59291,127.01403
37.59622,127.02136
37.59718,127.01424
37.5979,127.02146
37.59735,127.01435
37.59779,127.01418
37.59713,127.01366
37.597,127.01332
37.59689,127.01383
37.59684,127.01402
37.59662,127.01486
37.59677,127.01429
37.5934,127.0167
37.59326,127.01671
37.59403,127.01707
37.59372,127.01748
37.59361,127.01714
37.59406,127.01719
37.59382,127.01754
36.4177,128.17486
37.59426,127.01679
37.5939,127.01713
36.68387,126.84773
37.59436,127.0168
36.4177,128.17486
37.59422,127.01748
37.59448,127.01661
37.59449,127.01692
37.59459,127.01683
37.59467,127.01751
37.59384,127.01413
37.59473,127.01757
37.59459,127.01797
37.59431,127.01768
37.59512,127.01784
37.59489,127.01816
37.59415,127.01755
37.59464,127.0185
37.59447,127.01834
37.59449,127.0185
37.59528,127.01931
37.59449,127.0185
37.59528,127.01958
37.59559,127.01969
37.59573,127.01922
37.59553,127.0194
37.5951,127.01895
37.59549,127.01894
37.59511,127.01876
37.59477,127.01876
37.59515,127.01906
37.59547,127.01831
37.59539,127.01864
37.59555,127.01767
37.59545,127.01796
37.59619,127.02021
37.59438,127.01381
37.59686,127.02116
37.59662,127.02076
37.59677,127.02081
37.59676,127.02022
37.59675,127.02046
37.59656,127.02062
37.5965,127.0205
37.59639,127.02045
37.5965,127.02017
37.59628,127.01952
37.59614,127.01981
37.59628,127.01926
37.59586,127.01977
37.59609,127.01863
37.59622,127.01881
37.59663,127.02001
37.59644,127.01949
37.59649,127.02001
37.59653,127.01908
37.59734,127.01955
37.59649,127.01894
37.59647,127.0188
37.5983,127.01474
37.59698,127.01686
37.59706,127.01928
37.34082,127.10674
37.34082,127.10674
37.34082,127.10674
37.61391,127.01638
37.61364,127.01666
37.61364,127.01666
37.61364,127.01666
37.61364,127.01666
37.59617,127.01856
37.61364,127.01666
37.59605,127.01836
37.59647,127.01858
37.59597,127.01842
37.59638,127.01794
37.59615,127.01789
37.59641,127.0182
37.59664,127.01809
37.59012,127.02142
37.59636,127.01764
37.59614,127.01732
37.59574,127.01752
37.59596,127.01726
37.59698,127.01686
37.59695,127.01766
37.5968,127.01719
37.59673,127.01725
37.59656,127.01703
37.59632,127.01628
37.59655,127.01696
37.59646,127.01683
37.59633,127.01653
37.59379,127.01977
37.59685,127.01578
37.59761,127.01498
37.59758,127.01552
37.59749,127.01541
37.59757,127.01536
37.59785,127.01521
37.59816,127.01484
37.34082,127.10674
37.5983,127.01474
37.59568,127.0164
37.59602,127.01518
37.59631,127.0216
37.59334,127.01475
37.59302,127.01835
37.59451,127.0194
37.59558,127.0182
37.59254,127.01917
37.59594,127.0211
37.5956,127.02243
37.58875,127.00867
37.59427,127.01931
37.59217,127.0169
37.58537,127.0178
37.58531,127.01764
37.58169,127.01993
37.58451,127.02024
37.58189,127.01936
37.58052,127.02049
37.57942,127.021
37.60425,127.02339
37.58124,127.02103
37.60427,127.02302
37.60408,127.02427
37.61391,127.01638
37.60921,127.02204
37.60654,127.02371
37.60677,127.02359
37.60213,127.02167
37.61364,127.01666
37.60559,127.02396
37.60341,127.02866
37.60196,127.02499
37.60101,127.02539
37.59129,127.01028
37.60311,127.02872
37.59444,126.99012
37.59391,126.99178
37.59958,126.99645
37.59238,126.99585
37.59299,126.99263
37.59187,127.0125
37.59142,127.0047
37.59585,126.99701
37.59351,126.99205
37.58965,127.00692
37.59632,126.99276
37.59507,126.99522
37.59147,127.00271
38.24328,127.43984
37.60199,127.01965
37.59796,127.00568
37.59979,127.0101
37.59979,127.0101
37.59979,127.0101
37.59979,127.0101
37.59979,127.0101
37.59979,127.0101
37.59979,127.0101
37.59979,127.0101
37.60572,127.04244
37.60704,127.04317
37.61328,127.00621
37.60572,127.04244
37.60519,127.04034
37.60519,127.04034
37.60639,127.04312
37.60625,127.044
37.60413,127.0407
37.6049,127.04012
37.60595,127.04476
